Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Project ID,Agency Project ID,Project Name,Project Description,Start Date,Completion Date (B1),Planned Project Completion Date (B2),Projected/Actual Project Completion Date (B2),Lifecycle Cost,Schedule Variance (in days),Schedule Variance (%),Cost Variance ($ M),Cost Variance (%),Planned Cost ($ M),Projected/Actual Cost ($ M),Updated Date,Updated Time,Unique Project ID,Column 24,Column 25,Column 26,Column 27,Column 28
005-000000039,236,5,Department of Agriculture,Integrated Acquisition System (IAS) (OPPM),1102,,Oracle Discoverer,Oracle Discoverer will provide much needed reporting capabilities for IAS users to gain a full end to end view of the acquisition cycle.,03/10/2011,30/03/2012,30/03/2012,21/05/2012,0.35,-52,-29.05,0,0,0.35,0.35,30/06/2012,14:58:04,5,,,,,
005-000001659,239,6,Department of Agriculture,Animal Disease Traceability Information System (ADTIS),672,,FISMA Compliance FY12.,"Anything related to FISMA compliance: C&A, POA&M.",01/09/2011,30/09/2012,31/03/2012,01/09/2012,0.03,-154,-84.62,0,0,0.03,0.03,28/02/2012,11:22:26,ADT9010001,,,,,
005-000001659,239,5,Department of Agriculture,Animal Disease Traceability Information System (ADTIS),673,,FTE Support FY12.,FTE IT application support activities.,07/02/2011,30/09/2012,31/03/2012,31/03/2012,0.7,-153,-36.96,0,0,0.7,0.7,28/02/2012,11:22:26,ADT9010002,,,,,
005-000001659,239,5,Department of Agriculture,Animal Disease Traceability Information System (ADTIS),674,,Acquisition Support FY12.,"Acquisition activities that incudes help desk, but not security.",01/09/2011,30/09/2012,30/09/2012,30/09/2012,1.017,0,0,0,0,1.017,1.017,31/05/2012,14:20:15,ADT9010003,,,,,
005-000002223,242,5,Department of Agriculture,NRM - Natural Resource Manager,1108,,"NRM Release 5.7 (February, 2012)",NRM Maintenace Release 5.7. Includes  Program of Work proposals identified as critical by the NRM Extended Team and approved by the NRM Steering Commitee.  POW proposals are documented and available for review at  http://fsteams.fs.fed.us/sites/NRM-POW/default.aspx     At the time of this OMB 300 submission the assignment of POW proposals to specific NRM Releases were still being finalized.,01/10/2011,29/02/2012,29/02/2012,29/02/2012,6.958,-184,-121.85,0,0,6.958,6.958,30/04/2012,11:15:05,2223-R57,,,,,
005-000002223,242,5,Department of Agriculture,NRM - Natural Resource Manager,1109,,"NRM Release 5.8 (May, 2012)",NRM Maintenace Release 5.8. Includes  Program of Work proposals identified as critical by the NRM Extended Team and approved by the NRM Steering Commitee.  POW proposals are documented and available for review at  http://fsteams.fs.fed.us/sites/NRM-POW/default.aspx     At the time of this OMB 300 submission the assignment of POW proposals to specific NRM Releases were still being finalized.,01/03/2012,31/05/2012,31/05/2012,31/05/2012,4.175,-92,-101.1,0,0,4.175,4.175,30/04/2012,11:15:05,2223-R58,,,,,
005-000002223,242,5,Department of Agriculture,NRM - Natural Resource Manager,1112,,FY2011 Year End Reporting,Year end reporting includes rolling over performance reports to the year end section of the Corporate Data Warehouse; the creation of new annual performance reports; rolling over year end reports to the almanac; Feed this year's  performance measures to the USFS Performance Accountability System (PAS).  Initiate next year's Performance measures to PAS.,01/10/2011,31/12/2011,31/12/2011,29/02/2012,0.2,-244,-268.13,0,0,0.2,0.2,30/03/2012,07:09:12,2223-YE11,,,,,
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,1747,,eAuth Modernization,Modernization of the eAuthentication Service to align with USDA's ICAM target vision and to integrate fully with the USDA-ICAM architecture and EEMS suite of services.,04/01/2011,27/04/2012,27/04/2012,17/07/2012,3,-81,-16.98,4.0E-4,0.01,2.8474,2.847,01/08/2012,13:36:08,EA-001,,,,,
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,1748,,EEMS IDM Readiness,Implementation of Identity Manager.,03/09/2010,30/10/2011,13/10/2011,13/10/2011,0.07,-323,-323,-5.0E-4,-0.86,0.058,0.0585,02/07/2012,06:27:18,EE-001,,,,,
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,1749,,ePACS: PIV-A,Implementation of solution that meets USDA requirements for short-term employees to have physical and logical access.,01/10/2011,31/07/2012,15/12/2011,15/12/2011,0.9,0,0,0,0,0.891,0.891,02/07/2012,06:27:18,EP-001,,,,,
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,1753,,Person Model Readiness,"Infrastructure and process modivication to accommodate the National Finance Center's new human resource application called the Person Model, a PeopleSoft product.",01/09/2010,01/12/2011,06/10/2011,21/10/2011,0.225,-15,-30.61,-0.002,-5.26,0.038,0.04,29/02/2012,10:04:17,H-001,,,,,
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,1754,,FY11-Q1 O&amp;M,"On-going operations and maintenance work to support eAuthentication, EIMS, and EEMS.",01/10/2010,31/12/2010,30/12/2010,29/12/2010,4.407,1,1.11,0.097,2.2,4.407,4.31,29/02/2012,10:04:17,OM-FY11-01,,,,,
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,1755,,FY11-Q2 O&amp;M,"On-going operations and maintenance work to support eAuthentication, EIMS, and EEMS.",01/01/2011,31/03/2011,30/03/2011,30/03/2011,4.407,0,0,0.099,2.25,4.407,4.308,29/02/2012,10:04:17,OM-FY11-02,,,,,
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,1756,,FY11-Q3 O&amp;M,"On-going operations and maintenance work to support eAuthentication, EIMS, and EEMS.",01/04/2011,30/06/2011,30/06/2011,30/06/2011,4.407,0,0,0.066,1.5,4.407,4.341,29/02/2012,10:04:17,OM-FY11-03,,,,,
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,1757,,FY11-Q4 O&amp;M,"On-going operations and maintenance work to support eAuthentication, EIMS, and EEMS.",01/07/2011,30/09/2011,30/09/2011,30/09/2011,4.407,0,0,0,0,4.407,4.407,29/02/2012,10:04:17,OM-FY11-04,,,,,
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,1758,,FY12-Q1 O&amp;M,"On-going operations and maintenance work to support eAuthentication, EIMS, and EEMS.",01/10/2011,31/12/2011,30/12/2011,30/12/2011,3.3034,0,0,0,0,3.3034,3.3034,29/02/2012,10:04:18,OM-FY12-01,,,,,
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,1759,,FY12-Q2 O&amp;M,"On-going operations and maintenance work to support eAuthentication, EIMS, and EEMS.",01/01/2012,31/03/2012,31/03/2012,31/03/2012,3.3034,0,0,0,0,3.3034,3.3034,31/05/2012,14:22:21,OM-FY12-02,,,,,
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,1760,,FY12-Q3 O&amp;M,"On-going operations and maintenance work to support eAuthentication, EIMS, and EEMS.",01/04/2012,30/06/2012,30/06/2012,30/06/2012,3303400,0,0,0,0,3.3034,3.3034,01/08/2012,13:36:07,OM-FY12-03,,,,,
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,1761,,FY12-Q4 O&amp;M,"On-going operations and maintenance work to support eAuthentication, EIMS, and EEMS.",01/07/2012,30/09/2012,30/09/2012,30/09/2012,3.3034,0,0,0,0,3.3034,3.3034,01/08/2012,13:36:07,OM-FY12-04,,,,,
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,2961,,PKI 2.0,Upgrade PKI environment to support NIST standards (e.g. issuing SHA-256 certificates) and adding system redundancy.,01/11/2011,30/03/2012,16/03/2012,16/03/2012,0.25,0,0,0,0,0.123,0.123,31/05/2012,14:22:21,PKI-2,,,,,
005-000000054,271,5,Department of Agriculture,Geographic Information System  (GIS) #84,1653,,NAIP 2011,Imagery Data Acquisition.,01/10/2010,31/10/2012,31/10/2012,31/10/2012,17.35,0,0,4,24.35,16.43,12.43,28/02/2012,14:24:22,1,,,,,
005-000000054,271,5,Department of Agriculture,Geographic Information System  (GIS) #84,1655,,Support Services 2011,Software Development and Project Management.,01/12/2010,30/11/2011,30/11/2011,30/11/2011,2.2,0,0,0.07145,3.25,2.2,2.12855,28/02/2012,14:24:22,3,,,,,
005-000002276,369,5,Department of Agriculture,Enterprise Human Capital Management (EHCM),1738,,Maintenance,Upgrades and Enhancements.,01/10/2011,01/04/2012,01/04/2012,31/10/2012,10.301119,-213,-116.39,5.3568,69.77,7.6778,2.321,30/06/2012,15:25:48,1,,,,,
005-000000098,394,5,Department of Agriculture,Forest Service Computer Base,1765,,SR 20092856 DOI - USDA FS Access Authentication,To address interagency operability opportunities.,06/01/2009,14/12/2017,11/06/2010,01/09/2010,0.9,-812,-339.75,0,0,300.6,300.6,31/10/2011,13:10:22,7,,,,,
005-000000098,394,5,Department of Agriculture,Forest Service Computer Base,2829,,SR 20093089 Telecommunications Ordering Project,New process to set business rules and streamline workflows.,12/04/2010,30/07/2012,22/06/2012,22/06/2012,0.14,-70,-8.73,0,0,0.14,0.14,30/06/2012,14:57:51,1,,,,,
005-000000098,394,5,Department of Agriculture,Forest Service Computer Base,2830,,SR 20104088 Server Virtualization,Process and technical study to plan and implement server virtualization.,06/08/2010,01/06/2012,01/06/2012,01/06/2012,0.32,-91,-13.68,0,0,0.15,0.15,01/08/2012,13:22:39,2,,,,,
005-000000098,394,5,Department of Agriculture,Forest Service Computer Base,2831,,SR 20115333 gEMS Domino Application Migration,Applications to be migrated to Exchange to align with gEMS.,29/04/2011,31/12/2013,23/10/2012,23/10/2012,0.27,0,0,0,0,0.3,0.3,01/08/2012,13:22:39,3,,,,,
005-000000098,394,5,Department of Agriculture,Forest Service Computer Base,2832,,SR 20115292 Disaster Recovery Investigation,Ensure Data Center disaster recovery is operational.,30/06/2011,30/09/2012,19/11/2012,19/11/2012,0.75,0,0,0,0,0.5,0.5,01/08/2012,13:22:39,4,,,,,
005-000000098,394,5,Department of Agriculture,Forest Service Computer Base,2833,,SR 20071820 Data Center Initiative Migration,Complete final tasks for migration to the Data Center.,01/06/2007,04/04/2012,01/04/2012,01/04/2012,0.5,-152,-8.61,0,0,0.5,0.5,31/10/2011,13:03:23,6,,,,,
005-000000098,394,5,Department of Agriculture,Forest Service Computer Base,2834,,SR 20071820 Network upgrade for Data Center Initiative,Network upgrade.,02/03/2009,01/05/2012,02/04/2012,02/04/2012,100000,-151,-13.4,0,0,0.1,0.1,30/06/2012,14:57:52,8,,,,,
005-000002317,832,5,Department of Agriculture,Comprehensive Loan Program,1946,,CLP PMO Support and Documentation,Project management support and activities (includes Project Administration DME and Steady State).,04/01/2010,30/09/2024,28/09/2012,28/09/2012,214.054,0,0,0.131727,0.55,23.764871,23.633144,31/05/2012,16:34:51,10,,,,,
005-000002317,832,5,Department of Agriculture,Comprehensive Loan Program,1950,,Penetration Testing,Conduct a series of web application security assessments (WASA) of seventeen RD applications: This testing will include both internal and external network based penetration testing and web application specific testing to ensure that the applications themselves are coded securely.,01/04/2011,29/03/2013,23/09/2011,23/09/2011,1.505,0,0,0,0,0.498987,0.498987,31/05/2012,16:34:51,130,,,,,
005-000002317,832,5,Department of Agriculture,Comprehensive Loan Program,1954,,CLP Integration,The RD Enterprise Architecture Program is focused on establishing baseline and target architectures that provide a roadmap for the implementation of CLP.,31/08/2010,10/10/2011,30/09/2011,30/09/2011,4.801,0,0,0.05424,2.17,2.495101,2.440861,30/03/2012,07:07:59,40,,,,,
005-000002317,832,5,Department of Agriculture,Comprehensive Loan Program,1956,,CLP Maintenance,All maintenance activities for the Comprehensive Loan Program.,01/10/2010,30/09/2024,28/09/2012,28/09/2012,330.006,0,0,0,0,27.728684,27.728684,30/03/2012,07:07:59,500,,,,,
005-000002340,841,5,Department of Agriculture,Enterprise Information Management (EIM) #119,1741,,DWDS,The objective of this task is to provide the planning and FY2012 O&amp;M activities for the FSA Enterprise Data Warehouse.,18/07/2011,17/07/2012,17/07/2012,17/07/2012,3.795235,-45,-12.33,0.126131,3.32,3.795235,3.669104,01/08/2012,13:21:57,FY11DWDS,,,,,
005-000002340,841,5,Department of Agriculture,Enterprise Information Management (EIM) #119,1743,,FMRS,Provide operations and maintenance support for the financial management reporting data marts.,01/07/2011,31/12/2011,31/12/2011,31/12/2011,0.670791,0,0,0.007382,1.1,0.670791,0.663409,28/02/2012,14:16:52,FY11FMRS,,,,,
005-000002340,841,5,Department of Agriculture,Enterprise Information Management (EIM) #119,1744,,EIMPMO,"Provide program management support with a focus on maintaining the governance, policies, processes and tools necessary to support the program. Provide milestone and deliverable review support, EVM reporting, and stakeholder management to help the program achieve its objectives.",03/06/2011,02/06/2012,02/06/2012,02/06/2012,4.88587,0,0,0.293629,6.01,4.88587,4.592241,01/08/2012,13:21:57,FY11PMO,,,,,
005-000002376,1099,5,Department of Agriculture,Conservation Delivery Streamline Initiative (CDSI),1090,,CDSI FY'12 Phase 1 Plan & Dev,FY'12 first half activities for the CDSI Investment.,03/10/2011,31/03/2012,30/03/2012,30/03/2012,9.712,-154,-86.03,0,0,9.712,9.712,28/02/2012,11:22:46,2,,,,,
007-000000049,13,7,Department of Defense,Armed Forces Health Longitudinal Technology Application,2570,P0049-101,ICD-10,International Statistical Classification of Diseases and Related Health Problems 10th Revision (ICD-10) codes.,15/09/2011,14/09/2012,14/09/2012,14/09/2012,5.468,0,0,0,0,5.468,5.468,01/06/2012,10:53:08,P0049-101,,,,,
007-000000049,13,7,Department of Defense,Armed Forces Health Longitudinal Technology Application,2571,P0049-102,Integrate Wounded Ill and Injured (WII) Warrior initiatives and Enterprise Blood Management System (EBMS)  into AHLTA,Integrate WII Warrior initiatives (Medical Evaluation Board Information Technology Initiative (MEB ITI) / Neuro-Cognitive Assessment Tool (NCAT) & Health Artifact and Image Management Solution (HAIMS)) and Enterprise Blood Management System (EBMS)  into AHLTA.,27/09/2011,12/09/2012,12/09/2012,12/09/2012,9.764,0,0,0,0,9.764,9.764,01/06/2012,10:53:08,P0049-102,,,,,
007-000000155,14,7,Department of Defense,GLOBAL COMBAT SUPPORT SYSTEM - MARINE CORPS,2575,P0155-101,Global Combat Support System - Marine Corps (GCSS-MC) Increment 1,"GCSS-MC:  The Global Combat Support System - Marine Corps (GCSS-MC) is a portfolio of systems that supports logistics elements of command and control, joint logistics interoperability, and secure access to and visibility of logistics data. GCSS-MC is based upon the Marine Corps Logistics Operational Architecture and logistics business process reengineering initiatives. GCSS-MC is part of a joint GCSS effort, managed by the Joint Staff J-4, aimed at improving logistics capability and filling in deficiencies in the accuracy and timeliness of logistics data. GCSS-MC/LCM:  GCSS-MC Logistics Chain Management (LCM) is a program within GCSS-MC. It is comprised of Increments 1, 2, and 3.  GCSS-MC LCM Increment 1 is the first increment of GCSS-MC.  It provides initial capabilities for GCSS-MC.  The system provides Combat Service Support functionality: Supply, Maintenance, Task Organization, and Request Tracking in a shared data environment in support of deployed operations. Specifically the system centralizes logistics information for access by multiple authorized users (closing a significant warfighting gap), complies with the J-4 GCSS Mission Area Interface Control Document that establishes a DoD Family of Systems for logistics information visibility and decision support, and satisfies initial Marine Corps requirements for meeting Combatant Commander 129/57 Data Elements that provide asset visibility data to Combatant and Joint Task Force Commanders.   GCSS-MC/LCM Increment 1:  GCSS-MC LCM Increment 1 is the first increment of GCSS-MC/LCM.  It is a separate acquisition program with its own milestone events.  It is based on the implementation of Oracle e-Business Suite 11i as the core software package.  Increment 1 provides the foundation for all future Marine Corps logistics systems modernization.  Increments 2 and 3 are not reported here because they have not officially been approved through the new Business Case Lifecycle (BCL) process.",01/10/2003,30/09/2023,01/07/2013,11/03/2013,1022,112,9.82,9.2,3.3,279,269.8,29/02/2012,10:06:32,P0155-101,,,,,
007-000000186,16,7,Department of Defense,NAVY ENTERPRISE RESOURCE PLANNING (ERP),2578,P0186-101,Navy ERP Implementation/Deployment,This project includes all of the remaining Navy ERP Deployments:Naval Supply Systems Command (NAVSUP) (Phase II - Fleet Logistics Centers and Partner Sites) Strategic Systems Program (SSP)Office of Naval Research (ONR)Naval Sea Systems (NAVSEA) Command Navy Working Capital Fund (NWCF).,01/10/2010,31/03/2013,31/03/2013,31/03/2013,74.641,0,0,4.434,5.94,74.64,70.206,20/07/2012,06:14:24,P0186-101,,,,,
007-000000057,17,7,Department of Defense,MULTIFUNCTIONAL INFORMATION DISTRIBUTION SYSTEM,2572,P0057-103,Block Cycle (BC) 1 for MIDS-JTRS,Complete the development and begin implementaiton of MIDS JTRS Block Cycle 1 which incorporates NSA mandated Crypto Modernization as well as high priority Problem Report (PR) fixes.,16/09/2011,15/05/2013,15/05/2013,15/05/2013,26,0,0,5.988,23.03,26,20.012,11/01/2012,08:35:33,P0057-103,,,,,
007-000000057,17,7,Department of Defense,MULTIFUNCTIONAL INFORMATION DISTRIBUTION SYSTEM,2574,P0057-105,MIDS JTRS Sustainment,Sustainment of MIDS JTRS as it reaches its Full Production and Fielding and Initial Operational Capability (IOC) decisions.,01/10/2011,30/09/2012,30/09/2012,30/09/2012,14.457,0,0,11.357,78.56,14.457,3.1,23/02/2012,10:30:16,P0057-105,,,,,
