Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Project ID,Agency Project ID,Project Name,Project Description,Start Date,Completion Date (B1),Planned Project Completion Date (B2),Projected/Actual Project Completion Date (B2),Lifecycle Cost,Schedule Variance (in days),Schedule Variance (%),Cost Variance ($ M),Cost Variance (%),Planned Cost ($ M),Projected/Actual Cost ($ M),Updated Date,Updated Time,Unique Project ID,Column 24,Column 25,Column 26,Column 27,Column 28
005-000000039,236,5,Department of Agriculture,Integrated Acquisition System (IAS) (OPPM),1102,,Oracle Discoverer,Oracle Discoverer will provide much needed reporting capabilities for IAS users to gain a full end to end view of the acquisition cycle.,03/10/2011,30/03/2012,30/03/2012,21/05/2012,0.35,-52,-29.05,0,0,0.35,0.35,30/06/2012,14:58:04,5,,,,,
005-000001659,239,6,Department of Agriculture,Animal Disease Traceability Information System (ADTIS),672,,FISMA Compliance FY12.,"Anything related to FISMA compliance: C&A, POA&M.",01/09/2011,30/09/2012,31/03/2012,01/09/2012,0.03,-154,-84.62,0,0,0.03,0.03,28/02/2012,11:22:26,ADT9010001,,,,,
005-000001659,239,5,Department of Agriculture,Animal Disease Traceability Information System (ADTIS),673,,FTE Support FY12.,FTE IT application support activities.,07/02/2011,30/09/2012,31/03/2012,31/03/2012,0.7,-153,-36.96,0,0,0.7,0.7,28/02/2012,11:22:26,ADT9010002,,,,,
005-000001659,239,5,Department of Agriculture,Animal Disease Traceability Information System (ADTIS),674,,Acquisition Support FY12.,"Acquisition activities that incudes help desk, but not security.",01/09/2011,30/09/2012,30/09/2012,30/09/2012,1.017,0,0,0,0,1.017,1.017,31/05/2012,14:20:15,ADT9010003,,,,,
005-000002223,242,5,Department of Agriculture,NRM - Natural Resource Manager,1108,,"NRM Release 5.7 (February, 2012)",NRM Maintenace Release 5.7. Includes  Program of Work proposals identified as critical by the NRM Extended Team and approved by the NRM Steering Commitee.  POW proposals are documented and available for review at  http://fsteams.fs.fed.us/sites/NRM-POW/default.aspx     At the time of this OMB 300 submission the assignment of POW proposals to specific NRM Releases were still being finalized.,01/10/2011,29/02/2012,29/02/2012,29/02/2012,6.958,-184,-121.85,0,0,6.958,6.958,30/04/2012,11:15:05,2223-R57,,,,,
005-000002223,242,5,Department of Agriculture,NRM - Natural Resource Manager,1109,,"NRM Release 5.8 (May, 2012)",NRM Maintenace Release 5.8. Includes  Program of Work proposals identified as critical by the NRM Extended Team and approved by the NRM Steering Commitee.  POW proposals are documented and available for review at  http://fsteams.fs.fed.us/sites/NRM-POW/default.aspx     At the time of this OMB 300 submission the assignment of POW proposals to specific NRM Releases were still being finalized.,01/03/2012,31/05/2012,31/05/2012,31/05/2012,4.175,-92,-101.1,0,0,4.175,4.175,30/04/2012,11:15:05,2223-R58,,,,,
005-000002223,242,5,Department of Agriculture,NRM - Natural Resource Manager,1112,,FY2011 Year End Reporting,Year end reporting includes rolling over performance reports to the year end section of the Corporate Data Warehouse; the creation of new annual performance reports; rolling over year end reports to the almanac; Feed this year's  performance measures to the USFS Performance Accountability System (PAS).  Initiate next year's Performance measures to PAS.,01/10/2011,31/12/2011,31/12/2011,29/02/2012,0.2,-244,-268.13,0,0,0.2,0.2,30/03/2012,07:09:12,2223-YE11,,,,,
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,1747,,eAuth Modernization,Modernization of the eAuthentication Service to align with USDA's ICAM target vision and to integrate fully with the USDA-ICAM architecture and EEMS suite of services.,04/01/2011,27/04/2012,27/04/2012,17/07/2012,3,-81,-16.98,4.0E-4,0.01,2.8474,2.847,01/08/2012,13:36:08,EA-001,,,,,
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,1748,,EEMS IDM Readiness,Implementation of Identity Manager.,03/09/2010,30/10/2011,13/10/2011,13/10/2011,0.07,-323,-323,-5.0E-4,-0.86,0.058,0.0585,02/07/2012,06:27:18,EE-001,,,,,
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,1749,,ePACS: PIV-A,Implementation of solution that meets USDA requirements for short-term employees to have physical and logical access.,01/10/2011,31/07/2012,15/12/2011,15/12/2011,0.9,0,0,0,0,0.891,0.891,02/07/2012,06:27:18,EP-001,,,,,
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,1753,,Person Model Readiness,"Infrastructure and process modivication to accommodate the National Finance Center's new human resource application called the Person Model, a PeopleSoft product.",01/09/2010,01/12/2011,06/10/2011,21/10/2011,0.225,-15,-30.61,-0.002,-5.26,0.038,0.04,29/02/2012,10:04:17,H-001,,,,,
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,1754,,FY11-Q1 O&amp;M,"On-going operations and maintenance work to support eAuthentication, EIMS, and EEMS.",01/10/2010,31/12/2010,30/12/2010,29/12/2010,4.407,1,1.11,0.097,2.2,4.407,4.31,29/02/2012,10:04:17,OM-FY11-01,,,,,
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,1755,,FY11-Q2 O&amp;M,"On-going operations and maintenance work to support eAuthentication, EIMS, and EEMS.",01/01/2011,31/03/2011,30/03/2011,30/03/2011,4.407,0,0,0.099,2.25,4.407,4.308,29/02/2012,10:04:17,OM-FY11-02,,,,,
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,1756,,FY11-Q3 O&amp;M,"On-going operations and maintenance work to support eAuthentication, EIMS, and EEMS.",01/04/2011,30/06/2011,30/06/2011,30/06/2011,4.407,0,0,0.066,1.5,4.407,4.341,29/02/2012,10:04:17,OM-FY11-03,,,,,
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,1757,,FY11-Q4 O&amp;M,"On-going operations and maintenance work to support eAuthentication, EIMS, and EEMS.",01/07/2011,30/09/2011,30/09/2011,30/09/2011,4.407,0,0,0,0,4.407,4.407,29/02/2012,10:04:17,OM-FY11-04,,,,,
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,1758,,FY12-Q1 O&amp;M,"On-going operations and maintenance work to support eAuthentication, EIMS, and EEMS.",01/10/2011,31/12/2011,30/12/2011,30/12/2011,3.3034,0,0,0,0,3.3034,3.3034,29/02/2012,10:04:18,OM-FY12-01,,,,,
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,1759,,FY12-Q2 O&amp;M,"On-going operations and maintenance work to support eAuthentication, EIMS, and EEMS.",01/01/2012,31/03/2012,31/03/2012,31/03/2012,3.3034,0,0,0,0,3.3034,3.3034,31/05/2012,14:22:21,OM-FY12-02,,,,,
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,1760,,FY12-Q3 O&amp;M,"On-going operations and maintenance work to support eAuthentication, EIMS, and EEMS.",01/04/2012,30/06/2012,30/06/2012,30/06/2012,3303400,0,0,0,0,3.3034,3.3034,01/08/2012,13:36:07,OM-FY12-03,,,,,
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,1761,,FY12-Q4 O&amp;M,"On-going operations and maintenance work to support eAuthentication, EIMS, and EEMS.",01/07/2012,30/09/2012,30/09/2012,30/09/2012,3.3034,0,0,0,0,3.3034,3.3034,01/08/2012,13:36:07,OM-FY12-04,,,,,
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,2961,,PKI 2.0,Upgrade PKI environment to support NIST standards (e.g. issuing SHA-256 certificates) and adding system redundancy.,01/11/2011,30/03/2012,16/03/2012,16/03/2012,0.25,0,0,0,0,0.123,0.123,31/05/2012,14:22:21,PKI-2,,,,,
005-000000054,271,5,Department of Agriculture,Geographic Information System  (GIS) #84,1653,,NAIP 2011,Imagery Data Acquisition.,01/10/2010,31/10/2012,31/10/2012,31/10/2012,17.35,0,0,4,24.35,16.43,12.43,28/02/2012,14:24:22,1,,,,,
005-000000054,271,5,Department of Agriculture,Geographic Information System  (GIS) #84,1655,,Support Services 2011,Software Development and Project Management.,01/12/2010,30/11/2011,30/11/2011,30/11/2011,2.2,0,0,0.07145,3.25,2.2,2.12855,28/02/2012,14:24:22,3,,,,,
005-000002276,369,5,Department of Agriculture,Enterprise Human Capital Management (EHCM),1738,,Maintenance,Upgrades and Enhancements.,01/10/2011,01/04/2012,01/04/2012,31/10/2012,10.301119,-213,-116.39,5.3568,69.77,7.6778,2.321,30/06/2012,15:25:48,1,,,,,
005-000000098,394,5,Department of Agriculture,Forest Service Computer Base,1765,,SR 20092856 DOI - USDA FS Access Authentication,To address interagency operability opportunities.,06/01/2009,14/12/2017,11/06/2010,01/09/2010,0.9,-812,-339.75,0,0,300.6,300.6,31/10/2011,13:10:22,7,,,,,
005-000000098,394,5,Department of Agriculture,Forest Service Computer Base,2829,,SR 20093089 Telecommunications Ordering Project,New process to set business rules and streamline workflows.,12/04/2010,30/07/2012,22/06/2012,22/06/2012,0.14,-70,-8.73,0,0,0.14,0.14,30/06/2012,14:57:51,1,,,,,
005-000000098,394,5,Department of Agriculture,Forest Service Computer Base,2830,,SR 20104088 Server Virtualization,Process and technical study to plan and implement server virtualization.,06/08/2010,01/06/2012,01/06/2012,01/06/2012,0.32,-91,-13.68,0,0,0.15,0.15,01/08/2012,13:22:39,2,,,,,
005-000000098,394,5,Department of Agriculture,Forest Service Computer Base,2831,,SR 20115333 gEMS Domino Application Migration,Applications to be migrated to Exchange to align with gEMS.,29/04/2011,31/12/2013,23/10/2012,23/10/2012,0.27,0,0,0,0,0.3,0.3,01/08/2012,13:22:39,3,,,,,
005-000000098,394,5,Department of Agriculture,Forest Service Computer Base,2832,,SR 20115292 Disaster Recovery Investigation,Ensure Data Center disaster recovery is operational.,30/06/2011,30/09/2012,19/11/2012,19/11/2012,0.75,0,0,0,0,0.5,0.5,01/08/2012,13:22:39,4,,,,,
005-000000098,394,5,Department of Agriculture,Forest Service Computer Base,2833,,SR 20071820 Data Center Initiative Migration,Complete final tasks for migration to the Data Center.,01/06/2007,04/04/2012,01/04/2012,01/04/2012,0.5,-152,-8.61,0,0,0.5,0.5,31/10/2011,13:03:23,6,,,,,
005-000000098,394,5,Department of Agriculture,Forest Service Computer Base,2834,,SR 20071820 Network upgrade for Data Center Initiative,Network upgrade.,02/03/2009,01/05/2012,02/04/2012,02/04/2012,100000,-151,-13.4,0,0,0.1,0.1,30/06/2012,14:57:52,8,,,,,
005-000002317,832,5,Department of Agriculture,Comprehensive Loan Program,1946,,CLP PMO Support and Documentation,Project management support and activities (includes Project Administration DME and Steady State).,04/01/2010,30/09/2024,28/09/2012,28/09/2012,214.054,0,0,0.131727,0.55,23.764871,23.633144,31/05/2012,16:34:51,10,,,,,
005-000002317,832,5,Department of Agriculture,Comprehensive Loan Program,1950,,Penetration Testing,Conduct a series of web application security assessments (WASA) of seventeen RD applications: This testing will include both internal and external network based penetration testing and web application specific testing to ensure that the applications themselves are coded securely.,01/04/2011,29/03/2013,23/09/2011,23/09/2011,1.505,0,0,0,0,0.498987,0.498987,31/05/2012,16:34:51,130,,,,,
005-000002317,832,5,Department of Agriculture,Comprehensive Loan Program,1954,,CLP Integration,The RD Enterprise Architecture Program is focused on establishing baseline and target architectures that provide a roadmap for the implementation of CLP.,31/08/2010,10/10/2011,30/09/2011,30/09/2011,4.801,0,0,0.05424,2.17,2.495101,2.440861,30/03/2012,07:07:59,40,,,,,
005-000002317,832,5,Department of Agriculture,Comprehensive Loan Program,1956,,CLP Maintenance,All maintenance activities for the Comprehensive Loan Program.,01/10/2010,30/09/2024,28/09/2012,28/09/2012,330.006,0,0,0,0,27.728684,27.728684,30/03/2012,07:07:59,500,,,,,
005-000002340,841,5,Department of Agriculture,Enterprise Information Management (EIM) #119,1741,,DWDS,The objective of this task is to provide the planning and FY2012 O&amp;M activities for the FSA Enterprise Data Warehouse.,18/07/2011,17/07/2012,17/07/2012,17/07/2012,3.795235,-45,-12.33,0.126131,3.32,3.795235,3.669104,01/08/2012,13:21:57,FY11DWDS,,,,,
005-000002340,841,5,Department of Agriculture,Enterprise Information Management (EIM) #119,1743,,FMRS,Provide operations and maintenance support for the financial management reporting data marts.,01/07/2011,31/12/2011,31/12/2011,31/12/2011,0.670791,0,0,0.007382,1.1,0.670791,0.663409,28/02/2012,14:16:52,FY11FMRS,,,,,
005-000002340,841,5,Department of Agriculture,Enterprise Information Management (EIM) #119,1744,,EIMPMO,"Provide program management support with a focus on maintaining the governance, policies, processes and tools necessary to support the program. Provide milestone and deliverable review support, EVM reporting, and stakeholder management to help the program achieve its objectives.",03/06/2011,02/06/2012,02/06/2012,02/06/2012,4.88587,0,0,0.293629,6.01,4.88587,4.592241,01/08/2012,13:21:57,FY11PMO,,,,,
005-000002376,1099,5,Department of Agriculture,Conservation Delivery Streamline Initiative (CDSI),1090,,CDSI FY'12 Phase 1 Plan & Dev,FY'12 first half activities for the CDSI Investment.,03/10/2011,31/03/2012,30/03/2012,30/03/2012,9.712,-154,-86.03,0,0,9.712,9.712,28/02/2012,11:22:46,2,,,,,
010-000000066,644,10,Department of the Interior,BIA - Loan Management and Accounting System (LOMAS),1154,,Prepare investment for replacement,Prepare LOMAS for replacement by GLAS.,03/10/2011,30/03/2012,30/03/2012,15/02/2012,0.021,44,24.58,0.00154,7.33,0.021,0.01946,24/05/2012,12:55:49,1,,,,,
010-000000083,647,10,Department of the Interior,BIE - Native American Student Information System (NASIS),1156,,System Upgrades,Upgrade application - bug fixes etc.,01/07/2011,30/06/2012,30/06/2012,30/06/2012,0.087,-62,-16.99,0,0,0.087,0.087,29/02/2012,08:13:45,1,,,,,
010-000000156,652,10,Department of the Interior,BLM - IT Support for Resources and Mineral Land Use Planning (ePlanning),1157,,ePlanning Phase 2.0.3,"ePlanning version 2.0.3 is the last phase of ePlanning development, and is Phase 3 of ePlanning version 2. The functions included in this final phase are: Intra-Agency Comment Periods, National Environmental Policy Act (NEPA) Screening, Date Last Changed, Project Archiving, Content Reuse, Publish ePlanning Document to Digital Media, Records management and Retention, Geospatial Mapping to the Approved Resource Management Plan (ARMP).",01/07/2011,30/09/2012,30/09/2011,30/09/2011,1.061,-336,-369.23,0,0,0.2122,0.2122,14/08/2012,11:34:46,eP-201101,,,,,
010-000000987,657,10,Department of the Interior,USGS - Hazards - Advanced National Seismic System (ANSS),1179,,ANSS Planning and Management,"Planning and Management (PM) tasks supporting the development, maintenance and operation of the ANSS investment, including committee activities (IPT, advisory and implementation) and technical workshops.",01/10/2010,30/09/2013,30/09/2012,30/09/2012,0.823,0,0,0.609057,80.03,0.761,0.151943,24/07/2012,09:47:11,ANSS-0001,,,,,
010-000000987,657,10,Department of the Interior,USGS - Hazards - Advanced National Seismic System (ANSS),1180,,"ANSS Development, Modernization and Expansion","Development, Modernization and Expansion (DME) activities of the Advanced National Seismic System, including all product development.",01/10/2010,30/09/2013,30/09/2012,30/09/2012,20.201,0,0,19.807825,98.05,20.201,0.393175,24/07/2012,09:47:11,ANSS-0003,,,,,
010-000000987,657,10,Department of the Interior,USGS - Hazards - Advanced National Seismic System (ANSS),1181,,"ANSS - ARRA- Development, Modernization and Expansion","Development, Modernization and Expansion (DME) activities of the Advanced National Seismic System, ARRA sensor network upgrades.",01/04/2009,30/09/2011,30/09/2011,30/09/2011,19.5,-336,-36.84,0,0,18.638,18.638,23/09/2011,06:04:57,ANSS-0004,,,,,
010-000001049,666,10,Department of the Interior,USGS - Water - National Water Information System (NWIS),1184,,FY11 Maintenance and Support,"FY11 Maintenance, Operations and Support, including quarterly metadata updates and regular software maintenance updates and support.",01/10/2010,30/09/2011,30/09/2011,30/09/2011,7.83,0,0,0.152605,1.95,7.83,7.677395,24/02/2012,08:44:48,NWIS-0001,,,,,
010-000001049,666,10,Department of the Interior,USGS - Water - National Water Information System (NWIS),2922,,"FY12 Database Management System (DBMS) Technology Refresh, Maintenance & Operations","NWIS will be performing a technology refresh of the commercial DBMS to agency enterprise solution. Software/applications will be converted and data will be migrated. The project consists of the modifications/preparations, full testing and verification, formal acceptance, Beta-site implementation and general release. The project also includes regular software maintenance updates and support.",01/10/2011,30/09/2012,30/09/2012,30/09/2012,7.6,0,0,0.019,0.25,7.6,7.581,24/07/2012,09:47:11,NWIS-0002,,,,,
010-000001050,667,10,Department of the Interior,USGS - CSS - TNM Reengineering Project,1185,,"FY 2012 O&M - Web Apps, Database Administration, and Security","This includes systems maintenance for ingestion, integration, production, and distribution for national digital GIS data, and topographic maps (US Topos) in support of one of the USGS core missions to provide base map data to the Nation. The mission is consistent with the OMB Circular A-16, which requires the USGS to lead the Nation in providing a common set of base geographic data and to be the Federal agency lead for elevation, hydrography, orthoimagery, and geographic names.",03/10/2011,28/09/2012,28/09/2012,28/09/2012,4.654,0,0,0,0,4.654,4.654,24/05/2012,12:55:50,TNMP-0001,,,,,
010-000001050,667,10,Department of the Interior,USGS - CSS - TNM Reengineering Project,1186,,"FY 2012 DME - Viewer, Map Services and Data Download Enhancements","The USGS provides base map data to the Nation.  Several key enhancements to National Map web based data delivery systems will be achieved in FY13 to include:  Three new cached national web base maps (Topo, Imagery and Hybrid); new releases of the The National Map viewer; and new downloadable data (ex. Contours) for use in Geographic Information Systems.",03/10/2011,28/09/2012,28/09/2012,28/09/2012,0.175,0,0,0,0,0.175,0.175,24/05/2012,12:55:50,TNMP-0002,,,,,
